# T  poynt_z1  poynt_z2  poynt_x1  poynt_x2  poynt_y1  poynt_y2  P_out
    0   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    1   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    2   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    3   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    4   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    5   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    6   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    7   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    8   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    9   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   20            nan            nan            nan            nan            nan            nan            nan
   21            nan            nan            nan            nan            nan            nan            nan
   22            nan            nan            nan            nan            nan            nan            nan
   23            nan            nan            nan            nan            nan            nan            nan
   24            nan            nan            nan            nan            nan            nan            nan
   25            nan            nan            nan            nan            nan            nan            nan
   26            nan            nan            nan            nan            nan            nan            nan
   27            nan            nan            nan            nan            nan            nan            nan
   28            nan            nan            nan            nan            nan            nan            nan
   29            nan            nan            nan            nan            nan            nan            nan
   30            nan            nan            nan            nan            nan            nan            nan
   31            nan            nan            nan            nan            nan            nan            nan
   32            nan            nan            nan            nan            nan            nan            nan
   33            nan            nan            nan            nan            nan            nan            nan
   34            nan            nan            nan            nan            nan            nan            nan
   35            nan            nan            nan            nan            nan            nan            nan
   36            nan            nan            nan            nan            nan            nan            nan
   37            nan            nan            nan            nan            nan            nan            nan
   38            nan            nan            nan            nan            nan            nan            nan
   39            nan            nan            nan            nan            nan            nan            nan
   40            nan            nan            nan            nan            nan            nan            nan
   41            nan            nan            nan            nan            nan            nan            nan
   42            nan            nan            nan            nan            nan            nan            nan
   43            nan            nan            nan            nan            nan            nan            nan
   44            nan            nan            nan            nan            nan            nan            nan
   45            nan            nan            nan            nan            nan            nan            nan
   46            nan            nan            nan            nan            nan            nan            nan
   47            nan            nan            nan            nan            nan            nan            nan
   48            nan            nan            nan            nan            nan            nan            nan
   49            nan            nan            nan            nan            nan            nan            nan
